Note,Exo1,Exo2,Exo 3
9,1,1,7
9.5,2.75,1.25,5.5
8.25,2.5,2.25,3.5
9.75,2.5,3,4.25
10.25,2.5,3.75,4
13.25,2.5,4.25,6.5
8.75,2,3.25,3.5
10,2,6.5,1.5
15,3.5,4.5,7
17.75,2.5,6.25,7
6,1,0,5
12.25,3,2.25,7
14.5,3.5,4.5,5.5
19,4,8,7
11.5,3.25,3.75,4.5
12.25,3.5,3.25,5.5
11.75,2,4,5.75
11.75,1,4.25,6.5
,,,
12.5,2.5,4.5,5.5
13.25,2.5,4.25,6.5
13,3.75,3.75,5.5
7.75,3,1.25,3.5
