Note,Exo1,Exo2,Exo 3,Exo 4
8.75,6.25,0.5,2,0
6.25,6.25,0,0,0
9,6,2,0,1
13.5,6,1,2.25,4.25
12.5,5.5,0,3,4
14.5,7,0,3,4.5
6.25,3.5,0,0.75,2
13.25,4.5,1,4,4.75
12.5,6,1,3,2
19.5,6.75,2,3.75,5
8.25,6,0,1.25,1
13,5,1,3,4
18,6,2.75,3.75,5
10.25,6.5,1,1.75,1
11.25,6.5,1,1.75,2
10,5.5,0,2,2
12,6,0,2.25,3.75
7.5,4.25,0,3.25,1
11,6.75,0,2.5,1
11.5,5.25,0.5,2.75,3
9.5,5.5,0,3,1
